Persona,Music app,Ad,count,unique
plain,Amazon,pen tell store,1,Plain
plain,Amazon,apartments.com,1,FALSE
plain,Amazon,Amazon music unlimited,10,FALSE
plain,Amazon,Geico,4,FALSE
plain,Amazon,Love has No Labels ,1,Plain
plain,Amazon,Amazon ads,5,FALSE
plain,Amazon,Charity for Ukranian chirldren,1,Plain
plain,Amazon,Nationwide Mutual Insurance Company,2,FALSE
plain,Amazon,Squarespace,2,FALSE
plain,Amazon,Nespresso,1,Plain
plain,Amazon,Alexa,1,FALSE
plain,Amazon,IMDB,1,FALSE
plain,Spotify,Geico,2,FALSE
plain,Spotify,Premium Spotify,13,FALSE
plain,Spotify,Spotify Ad Studio,3,FALSE
plain,Spotify,Anchor app by Spotify,2,Plain
plain,Spotify,GoGo squeeze,3,FALSE
plain,Spotify,Disney Plus,1,FALSE
plain,Spotify,McDonald's ,1,FALSE
plain,Spotify,Legal Zoom,1,FALSE
plain,Spotify,Starbucks,1,FALSE
plain,Spotify,Indeed,1,FALSE
plain,Spotify,Nationwide Mutual Insurance Company,3,FALSE
plain,Spotify,Pluto TV,1,FALSE
plain,Spotify,Low's,2,FALSE
plain,Spotify,YSL beauty,1,Plain
plain,Spotify,Audible App,1,Plain
plain,Pandora,Toyotas,1,FALSE
plain,Pandora,Capital One,2,FALSE
plain,Pandora,Indeed,1,FALSE
plain,Pandora,Taco Bell,2,FALSE
plain,Pandora,Discover,5,FALSE
plain,Pandora,Burlington,1,FALSE
plain,Pandora,"clear blue digital 
pregnancy test",1,FALSE
plain,Pandora,statefarm.com,1,FALSE
plain,Pandora,Penn State World Campus,1,FALSE
plain,Pandora,Xfinity,2,FALSE
plain,Pandora,McDonald's ,1,FALSE
plain,Pandora,Geico,1,FALSE
plain,Pandora,recyclesmart.com,1,Plain
plain,Pandora,Chick-Fil-A,1,FALSE
plain,Pandora,TurboTax,4,FALSE
plain,Pandora,Kohl's,2,FALSE
plain,Pandora,Carmax,1,FALSE
plain,Pandora,"The General Auto Insurance Services Insurance Agency Nashville, ",1,Plain
plain,Pandora,Disney Plus,1,FALSE
plain,Pandora,AT&T,1,FALSE
plain,Pandora,Nordstrom Rack,1,FALSE
Conncted Car,Amazon,Amazon music unlimited,6,FALSE
Conncted Car,Amazon,Indeed,1,FALSE
Conncted Car,Amazon,Nationwide Mutual Insurance Company,2,FALSE
Conncted Car,Amazon,IMDB,4,FALSE
Conncted Car,Amazon,Allstate insurance company ,3,Connected Car
